HGNC ID	Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Entrez Gene ID(supplied by NCBI)
HGNC:33394	KRT18P25			NT_016297	391647
HGNC:33395	KRT18P26			NT_022184	100418770
HGNC:33396	KRT18P27			NT_009952	390418
HGNC:33397	KRT18P28			NT_004487	343326
HGNC:33398	KRT18P29			NT_005403	729050
HGNC:33399	KRT18P30			NT_007299	643858
HGNC:3340	EMX1				2016
HGNC:33400	KRT18P31			NT_006576	646723
HGNC:33401	KRT18P32			NT_004836	391179
HGNC:33402	KRT18P33			NT_022184	647162
HGNC:33403	KRT18P34			NT_005612	391589
HGNC:33404	KRT18P35			NT_005612	391584
HGNC:33405	KRT18P36			NT_008413	442406
HGNC:33406	KRT18P37			NT_007995	392214
HGNC:33407	KRT18P38			NT_007592	441133
HGNC:33408	KRT18P39			NT_005403	344462
HGNC:33409	KRT18P40			NT_011295	390904
HGNC:3341	EMX2			NM_004098	2018
HGNC:33410	KRT18P12			NT_021877	643471
HGNC:33411	KRT18P41			NT_023133	345430
HGNC:33412	KRT18P42			NT_034772	391819
HGNC:33413	KRT18P43			NT_005612	151825
HGNC:33414	KRT18P44			NT_011786	139748
HGNC:33415	KRT18P45			NT_006713	391803
HGNC:33416	KRT18P46			NT_005403	391458
HGNC:33417	KRT18P47			NT_010274	390634
HGNC:33418	KRT18P48			NT_011726	340598
HGNC:33419	KRT18P49			NT_011651	392516
HGNC:3342	EN1				2019
HGNC:33420	KRT18P50			NT_025741	442236
HGNC:33421	KRT18P51			NT_016354	391703
HGNC:33422	KRT19P1			NT_007299	441160
HGNC:33423	KRT19P2	KRT19P5		NT_019546	160313
HGNC:33424	KRT19P3			NT_016354	442114
HGNC:33425	MIAT	C22orf35	FLJ25967, Rncr2, gomafu, NCRNA00066, LINC00066	NR_003491	440823
HGNC:33426	GGTLC3			XM_001128310	728226
HGNC:33427	GGTLC5P			XR_016962	653590
HGNC:33428	GGTLC4P			XR_015549	729838
HGNC:33429	SYT14P1	SYT14L	SYTDEP, CHR415SYT	NM_001014372	401135
HGNC:3343	EN2			NM_001427	2020
HGNC:33433	SULT6B1			NM_001032377	391365
HGNC:33434	RNF215			NM_001017981	200312
HGNC:33435	GDF5OS				554250
HGNC:33437	GSTT2B		GSTT2P	NM_001080843	653689
HGNC:33438	GGT8P	GGT1P1	FLJ31276	NR_003503	645367
HGNC:3344	ENAM	AIH2		NM_031889	10117
HGNC:33440	TRIM6-TRIM34			NM_001003819	445372
HGNC:33441	ZFP91-CNTF			NM_170768	386607
HGNC:33442	NACA3P		NACA3	NG_005843	389240
HGNC:33445	SCA30				100359393
HGNC:33446	DDTL			NM_001084393	100037417
HGNC:33447	PRKRAP1			XR_015579	731716
HGNC:33448	MAS1LP1	MAS1LP	OTTHUMG00000086553	NG_009738	646366
HGNC:33449	MCCD1P1		OTTHUMG00000130506		100048903
HGNC:3345	ENC1	NRPB	PIG10, ENC-1, TP53I10, KLHL37	NM_003633	8507
HGNC:33450	DDX39BP1	BAT1P1		NG_028140	100048904
HGNC:33451	CCDC137		MGC16597		339230
HGNC:33452	GBD2				100048905
HGNC:33453	GBD3				100048906
HGNC:33454	KIAA1211L	C2orf55	MGC42367	NM_207362	343990
HGNC:33455	SLC15A5			XM_001129090	729025
